Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Sushi Rice+Nori - 3.5 oz Portion (100g),138,0,0,0%,0,0%,0,0,0%,440,18%,0,0%,30,10%,0,2%,4,3,0%,8%
Tamago - 0.5 oz Serving (14g),21,9,1,2%,0,1%,0,45,14%,55,2%,0,0%,1,0%,0,0%,1,1,0%,2%
Tamago Yubu Sushi - 2.35 oz Portion (67g),114,32,3.5,5%,0.5,3%,0,65,21%,350,15%,0,0%,13,4%,0,0%,5,3,4%,4%
Tuna - 2.5 oz Portion (71g),102,32,3.5,5%,1,4%,0,25,8%,30,1%,170,4%,0,0%,0,0%,0,17,2%,6%
Tuna - 2.5 oz Portion (71g),102,32,3.5,5%,1,4%,0,25,8%,30,1%,170,4%,0,0%,0,0%,0,17,2%,6%
Tuna - 2 oz Portion (57g),81,22,2.5,4%,0.5,3%,0,20,7%,25,1%,140,3%,0,0%,0,0%,0,13,2%,4%
Tuna - 2.5 oz Portion (71g),102,32,3.5,5%,1,4%,0,25,8%,30,1%,170,4%,0,0%,0,0%,0,17,2%,6%
Tuna Nigiri - 2 oz serving (113g),157,27,3,4%,0.5,3%,0,20,7%,270,11%,140,3%,17,6%,0,0%,2,14,2%,8%
Veggie Roll - Roll (178g),211,22,2.5,4%,0,2%,0,0,0%,950,40%,200,4%,43,14%,3,10%,14,3,2%,10%
Wasabi Vinaigrette - 0.7 oz Serving (20g),16,0,0,0%,0,0%,0,0,0%,520,22%,0,0%,3,1%,0,0%,2,< 1,2%,0%
Wasabi Vinaigrette - 0.5 oz Serving (14g),11,0,0,0%,0,0%,0,0,0%,370,16%,0,0%,2,1%,0,0%,1,0,2%,0%
White Tiger Roll - Roll (225g),358,117,13,19%,1.5,8%,0,60,20%,1050,44%,20,0%,40,13%,0,2%,9,18,2%,10%
Yellowtail - 2.5 oz Serving (71g),165,81,9,14%,3,16%,0,50,17%,25,1%,0,0%,0,0%,0,0%,0,15,2%,2%
Yellowtail - 2.5 oz Serving (71g),165,81,9,14%,3,16%,0,50,17%,25,1%,0,0%,0,0%,0,0%,0,15,2%,2%
Yellowtail - 2.5 oz Serving (71g),165,81,9,14%,3,16%,0,50,17%,25,1%,0,0%,0,0%,0,0%,0,15,2%,2%
Yellowtail - 2.5 oz Serving (71g),165,81,9,14%,3,16%,0,50,17%,25,1%,0,0%,0,0%,0,0%,0,15,2%,2%
Yellowtail Nigiri - 2 oz serving (57g),104,32,3.5,6%,1.5,6%,0,20,7%,135,6%,0,0%,8,3%,0,0%,1,7,0%,2%
Yuzu Miso Sauce - 0.5 oz Serving (14g),30,18,2,3%,1.5,8%,0,10,3%,110,5%,0,0%,2,1%,0,0%,2,0,2%,0%
